"","perc_on_1","perc_on_2","perc_on_3","perc_on_4","perc_on_5","perc_on_6","perc_on_7","perc_on_8","perc_off_1","perc_off_2","perc_off_3","perc_off_4","perc_off_5","perc_off_6","perc_off_7","perc_off_8","hostile_online1","hostile_online2","hostile_online3","hostile_online4","hostile_online5","hostile_online6","hostile_offline1","hostile_offline2","hostile_offline3","hostile_offline4","witness_on_1","witness_on_2","witness_on_3","witness_off_1","witness_off_2","witness_off_3","perc_on","perc_off","hostile_online","hostile_offline","pid","highered","female","white","age","id","online_first"
"1",0,0,0,0,0,1,1,1,0,0,0,0,0,0.833333333333333,0.833333333333333,1,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.375,0.333333333333333,0,0.166666666666667,"Republican",0,0,1,72,1,0
"2",0,0,0,0,0,1,1,1,0,0,0,0,0.166666666666667,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.333333333333333,0,0,"Democrat",0,1,1,69,2,0
"3",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0,0,"Democrat",0,1,1,34,3,1
"4",0.5,0.833333333333333,0.666666666666667,0.5,0.5,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.520833333333333,0.5,0.666666666666667,0.458333333333333,"Democrat",0,0,1,29,4,0
"5",0.833333333333333,1,1,1,1,0,0.166666666666667,0.166666666666667,1,0.833333333333333,1,0.833333333333333,1,0.166666666666667,0,0,0.833333333333333,0.833333333333333,1,1,1,0.833333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,1,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.645833333333333,0.604166666666667,0.916666666666667,0.75,"Democrat",1,0,1,40,5,0
"6",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0.375,0.375,0,0,"Republican",0,0,0,20,6,1
"7",0,0.166666666666667,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0.833333333333333,0,0.166666666666667,0.166666666666667,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.166666666666667,0.166666666666667,0.229166666666667,0.166666666666667,0,0,"Republican",0,1,1,64,7,0
"8",0,0,0,0.166666666666667,0,0.333333333333333,1,1,0,0.166666666666667,0,0,0,0.166666666666667,1,0.833333333333333,0,0,0.666666666666667,0,0,0,0.666666666666667,0,0,0,0,0.833333333333333,1,0,0,0,0.3125,0.270833333333333,0.111111111111111,0.166666666666667,"Independent",0,1,1,35,8,0
"9",0.333333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0.5,1,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,1,0.833333333333333,1,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.5,0.583333333333333,0.111111111111111,0.0416666666666667,"Democrat",1,1,1,50,9,1
"10",0,0.166666666666667,0.166666666666667,0,0,0.833333333333333,0.833333333333333,1,0,0.166666666666667,0.166666666666667,0,0,0.833333333333333,0.833333333333333,1,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0.375,0.375,0.0277777777777778,0.0416666666666667,"Democrat",0,1,1,69,10,1
"11",0.166666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.833333333333333,0.333333333333333,0,0.5,0.5,0.416666666666667,0.416666666666667,"Democrat",1,0,1,60,11,0
"12",0.166666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.5,0.5,0.166666666666667,0.333333333333333,0.5,0.416666666666667,0.458333333333333,0.361111111111111,0.375,"Democrat",0,0,1,36,12,1
